2015-07-17 01:08:24,689 |OFBiz-config-1       |DatabaseUtil                  |I| - isolation Serializable    [true]
2015-07-17 01:08:24,689 |OFBiz-config-0       |DatabaseUtil                  |I| - isolation Serializable    [true]
2015-07-17 01:08:24,689 |OFBiz-config-1       |DatabaseUtil                  |I| - forward only type         [true]
2015-07-17 01:08:24,689 |OFBiz-config-0       |DatabaseUtil                  |I| - forward only type         [true]
2015-07-17 01:08:24,689 |OFBiz-config-1       |DatabaseUtil                  |I| - scroll sensitive type     [false]
2015-07-17 01:08:24,689 |OFBiz-config-0       |DatabaseUtil                  |I| - scroll sensitive type     [false]
2015-07-17 01:08:24,689 |OFBiz-config-1       |DatabaseUtil                  |I| - scroll insensitive type   [true]
2015-07-17 01:08:24,689 |OFBiz-config-0       |DatabaseUtil                  |I| - scroll insensitive type   [true]
2015-07-17 01:08:24,689 |OFBiz-config-1       |DatabaseUtil                  |I| - is case sensitive         [false]
2015-07-17 01:08:24,689 |OFBiz-config-0       |DatabaseUtil                  |I| - is case sensitive         [false]
2015-07-17 01:08:24,690 |OFBiz-config-0       |DatabaseUtil                  |I| - stores LowerCase          [true]
2015-07-17 01:08:24,690 |OFBiz-config-0       |DatabaseUtil                  |I| - stores MixedCase          [false]
2015-07-17 01:08:24,690 |OFBiz-config-0       |DatabaseUtil                  |I| - stores UpperCase          [false]
2015-07-17 01:08:24,692 |OFBiz-config-1       |DatabaseUtil                  |I| - stores LowerCase          [true]
2015-07-17 01:08:24,692 |OFBiz-config-1       |DatabaseUtil                  |I| - stores MixedCase          [false]
2015-07-17 01:08:24,692 |OFBiz-config-1       |DatabaseUtil                  |I| - stores UpperCase          [false]
2015-07-17 01:08:24,693 |OFBiz-config-0       |DatabaseUtil                  |I| - max table name length     [63]
2015-07-17 01:08:24,693 |OFBiz-config-0       |DatabaseUtil                  |I| - max column name length    [63]
2015-07-17 01:08:24,694 |OFBiz-config-0       |DatabaseUtil                  |I| - concurrent connections    [8192]
2015-07-17 01:08:24,694 |OFBiz-config-0       |DatabaseUtil                  |I| - concurrent statements     [0]
2015-07-17 01:08:24,694 |OFBiz-config-1       |DatabaseUtil                  |I| - max table name length     [63]
2015-07-17 01:08:24,694 |OFBiz-config-1       |DatabaseUtil                  |I| - max column name length    [63]
2015-07-17 01:08:24,694 |OFBiz-config-0       |DatabaseUtil                  |I| - ANSI SQL92 Entry          [true]
2015-07-17 01:08:24,694 |OFBiz-config-1       |DatabaseUtil                  |I| - concurrent connections    [8192]
2015-07-17 01:08:24,694 |OFBiz-config-0       |DatabaseUtil                  |I| - ANSI SQL92 Intermediate   [false]
2015-07-17 01:08:24,694 |OFBiz-config-1       |DatabaseUtil                  |I| - concurrent statements     [0]
2015-07-17 01:08:24,694 |OFBiz-config-0       |DatabaseUtil                  |I| - ANSI SQL92 Full           [false]
2015-07-17 01:08:24,695 |OFBiz-config-1       |DatabaseUtil                  |I| - ANSI SQL92 Entry          [true]
2015-07-17 01:08:24,695 |OFBiz-config-0       |DatabaseUtil                  |I| - ODBC SQL Grammar Core     [false]
2015-07-17 01:08:24,695 |OFBiz-config-1       |DatabaseUtil                  |I| - ANSI SQL92 Intermediate   [false]
2015-07-17 01:08:24,695 |OFBiz-config-0       |DatabaseUtil                  |I| - ODBC SQL Grammar Extended [false]
2015-07-17 01:08:24,695 |OFBiz-config-1       |DatabaseUtil                  |I| - ANSI SQL92 Full           [false]
2015-07-17 01:08:24,695 |OFBiz-config-0       |DatabaseUtil                  |I| - ODBC SQL Grammar Minimum  [true]
2015-07-17 01:08:24,695 |OFBiz-config-1       |DatabaseUtil                  |I| - ODBC SQL Grammar Core     [false]
2015-07-17 01:08:24,695 |OFBiz-config-0       |DatabaseUtil                  |I| - outer joins               [true]*
2015-07-17 01:08:24,695 |OFBiz-config-1       |DatabaseUtil                  |I| - ODBC SQL Grammar Extended [false]
2015-07-17 01:08:24,695 |OFBiz-config-0       |DatabaseUtil                  |I| - limited outer joins       [true]
2015-07-17 01:08:24,695 |OFBiz-config-1       |DatabaseUtil                  |I| - ODBC SQL Grammar Minimum  [true]
2015-07-17 01:08:24,696 |OFBiz-config-0       |DatabaseUtil                  |I| - full outer joins          [true]
2015-07-17 01:08:24,696 |OFBiz-config-1       |DatabaseUtil                  |I| - outer joins               [true]*
2015-07-17 01:08:24,696 |OFBiz-config-0       |DatabaseUtil                  |I| - group by                  [true]*
2015-07-17 01:08:24,696 |OFBiz-config-1       |DatabaseUtil                  |I| - limited outer joins       [true]
2015-07-17 01:08:24,696 |OFBiz-config-1       |DatabaseUtil                  |I| - full outer joins          [true]
2015-07-17 01:08:24,696 |OFBiz-config-0       |DatabaseUtil                  |I| - group by not in select    [true]
2015-07-17 01:08:24,696 |OFBiz-config-1       |DatabaseUtil                  |I| - group by                  [true]*
2015-07-17 01:08:24,696 |OFBiz-config-0       |DatabaseUtil                  |I| - column aliasing           [true]
2015-07-17 01:08:24,696 |OFBiz-config-1       |DatabaseUtil                  |I| - group by not in select    [true]
2015-07-17 01:08:24,696 |OFBiz-config-0       |DatabaseUtil                  |I| - order by not in select    [true]
2015-07-17 01:08:24,697 |OFBiz-config-1       |DatabaseUtil                  |I| - column aliasing           [true]
2015-07-17 01:08:24,697 |OFBiz-config-0       |DatabaseUtil                  |I| - alter table add column    [true]*
2015-07-17 01:08:24,697 |OFBiz-config-1       |DatabaseUtil                  |I| - order by not in select    [true]
2015-07-17 01:08:24,697 |OFBiz-config-0       |DatabaseUtil                  |I| - non-nullable column       [true]*
2015-07-17 01:08:24,697 |OFBiz-config-1       |DatabaseUtil                  |I| - alter table add column    [true]*
2015-07-17 01:08:24,697 |OFBiz-config-1       |DatabaseUtil                  |I| - non-nullable column       [true]*
2015-07-17 01:08:24,700 |OFBiz-config-0       |DatabaseUtil                  |I| - default fetchsize        [0]
2015-07-17 01:08:24,700 |OFBiz-config-0       |DatabaseUtil                  |I| - named parameters         [ SKIPPED ]
2015-07-17 01:08:24,700 |OFBiz-config-0       |DatabaseUtil                  |I| Getting Table Info From Database
2015-07-17 01:08:24,702 |OFBiz-config-2       |DatabaseUtil                  |I| Database Product Version is 9.3.9
2015-07-17 01:08:24,702 |OFBiz-config-2       |DatabaseUtil                  |I| Database Driver Name is PostgreSQL Native Driver
2015-07-17 01:08:24,702 |OFBiz-config-2       |DatabaseUtil                  |I| Database Driver Version is PostgreSQL 9.0 JDBC4 (build 801)
2015-07-17 01:08:24,702 |OFBiz-config-2       |DatabaseUtil                  |I| Database Driver JDBC Version is 4.0
2015-07-17 01:08:24,702 |OFBiz-config-1       |DatabaseUtil                  |I| - default fetchsize        [0]
2015-07-17 01:08:24,702 |OFBiz-config-1       |DatabaseUtil                  |I| - named parameters         [ SKIPPED ]
2015-07-17 01:08:24,702 |OFBiz-config-1       |DatabaseUtil                  |I| Getting Table Info From Database
2015-07-17 01:08:24,703 |OFBiz-config-2       |DatabaseUtil                  |I| Database Setting/Support Information (those with a * should be true):
2015-07-17 01:08:24,703 |OFBiz-config-2       |DatabaseUtil                  |I| - supports transactions     [true]*
2015-07-17 01:08:24,703 |OFBiz-config-2       |DatabaseUtil                  |I| - isolation None            [false]
2015-07-17 01:08:24,703 |OFBiz-config-2       |DatabaseUtil                  |I| - isolation ReadCommitted   [true]
2015-07-17 01:08:24,703 |OFBiz-config-2       |DatabaseUtil                  |I| - isolation ReadUncommitted [true]
2015-07-17 01:08:24,704 |OFBiz-config-2       |DatabaseUtil                  |I| - isolation RepeatableRead  [true]
2015-07-17 01:08:24,704 |OFBiz-config-2       |DatabaseUtil                  |I| - isolation Serializable    [true]
2015-07-17 01:08:24,704 |OFBiz-config-2       |DatabaseUtil                  |I| - forward only type         [true]
2015-07-17 01:08:24,704 |OFBiz-config-2       |DatabaseUtil                  |I| - scroll sensitive type     [false]
2015-07-17 01:08:24,704 |OFBiz-config-2       |DatabaseUtil                  |I| - scroll insensitive type   [true]
2015-07-17 01:08:24,705 |OFBiz-config-2       |DatabaseUtil                  |I| - is case sensitive         [false]
2015-07-17 01:08:24,705 |OFBiz-config-2       |DatabaseUtil                  |I| - stores LowerCase          [true]
2015-07-17 01:08:24,705 |OFBiz-config-2       |DatabaseUtil                  |I| - stores MixedCase          [false]
2015-07-17 01:08:24,705 |OFBiz-config-2       |DatabaseUtil                  |I| - stores UpperCase          [false]
2015-07-17 01:08:24,707 |OFBiz-config-2       |DatabaseUtil                  |I| - max table name length     [63]
2015-07-17 01:08:24,707 |OFBiz-config-2       |DatabaseUtil                  |I| - max column name length    [63]
2015-07-17 01:08:24,707 |OFBiz-config-2       |DatabaseUtil                  |I| - concurrent connections    [8192]
2015-07-17 01:08:24,713 |OFBiz-config-2       |DatabaseUtil                  |I| - concurrent statements     [0]
2015-07-17 01:08:24,713 |OFBiz-config-2       |DatabaseUtil                  |I| - ANSI SQL92 Entry          [true]
2015-07-17 01:08:24,713 |OFBiz-config-2       |DatabaseUtil                  |I| - ANSI SQL92 Intermediate   [false]
2015-07-17 01:08:24,713 |OFBiz-config-2       |DatabaseUtil                  |I| - ANSI SQL92 Full           [false]
2015-07-17 01:08:24,713 |OFBiz-config-2       |DatabaseUtil                  |I| - ODBC SQL Grammar Core     [false]
2015-07-17 01:08:24,714 |OFBiz-config-2       |DatabaseUtil                  |I| - ODBC SQL Grammar Extended [false]
2015-07-17 01:08:24,714 |OFBiz-config-1       |DatabaseUtil                  |I| Getting Column Info From Database
2015-07-17 01:08:24,714 |OFBiz-config-2       |DatabaseUtil                  |I| - ODBC SQL Grammar Minimum  [true]
2015-07-17 01:08:24,714 |OFBiz-config-2       |DatabaseUtil                  |I| - outer joins               [true]*
2015-07-17 01:08:24,714 |OFBiz-config-2       |DatabaseUtil                  |I| - limited outer joins       [true]
2015-07-17 01:08:24,714 |OFBiz-config-2       |DatabaseUtil                  |I| - full outer joins          [true]
2015-07-17 01:08:24,715 |OFBiz-config-2       |DatabaseUtil                  |I| - group by                  [true]*
2015-07-17 01:08:24,715 |OFBiz-config-2       |DatabaseUtil                  |I| - group by not in select    [true]
2015-07-17 01:08:24,715 |OFBiz-config-2       |DatabaseUtil                  |I| - column aliasing           [true]
2015-07-17 01:08:24,715 |OFBiz-config-2       |DatabaseUtil                  |I| - order by not in select    [true]
2015-07-17 01:08:24,715 |OFBiz-config-2       |DatabaseUtil                  |I| - alter table add column    [true]*
2015-07-17 01:08:24,716 |OFBiz-config-2       |DatabaseUtil                  |I| - non-nullable column       [true]*
2015-07-17 01:08:24,716 |OFBiz-config-2       |DatabaseUtil                  |I| - default fetchsize        [0]
2015-07-17 01:08:24,716 |OFBiz-config-2       |DatabaseUtil                  |I| - named parameters         [ SKIPPED ]
2015-07-17 01:08:24,716 |OFBiz-config-2       |DatabaseUtil                  |I| Getting Table Info From Database
2015-07-17 01:08:24,718 |OFBiz-config-0       |DatabaseUtil                  |I| Getting Column Info From Database
2015-07-17 01:08:24,742 |OFBiz-config-1       |DatabaseUtil                  |I| Reviewed 6 primary key fields from database.
2015-07-17 01:08:24,778 |OFBiz-config-2       |DatabaseUtil                  |I| Getting Column Info From Database
2015-07-17 01:08:24,780 |OFBiz-config-0       |DatabaseUtil                  |I| Reviewed 8 primary key fields from database.
2015-07-17 01:08:25,259 |OFBiz-config-2       |DatabaseUtil                  |I| Reviewed 1665 primary key fields from database.
2015-07-17 01:08:25,319 |main                 |ServiceDispatcher             |I| [ServiceDispatcher] : Creating new instance.
2015-07-17 01:08:25,353 |main                 |ServiceGroupReader            |I| Loaded [  1] Group definitions from file:/home/gildas/Outils/Elpi/framework/common/servicedef/groups_test.xml
